title,description,videoId,thumbnails,channelName,channelId,channelUrl,verified,publishedText,publishedDate,viewsText,views,videoUrl,duration,durationText,isShort
I Discovered a Minecraft Sky Civilization,"the empire rises..

I Discovered a Minecraft Sky Civilization 

people in this video: @Yeah_Jaron , @Pangi , @Wato-1876 , @mine  (aka straight), @naparizel , @loppezz , @LettuceK , @ArcnMC...",haxHwlvEN5g,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/haxHwlvEN5g/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/haxHwlvEN5g/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/haxHwlvEN5g/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/haxHwlvEN5g/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/haxHwlvEN5g/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/haxHwlvEN5g/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/haxHwlvEN5g/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/haxHwlvEN5g/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/haxHwlvEN5g/3.jpg', 'width': 120, 'height': 90}]",Wemmbu,UCkzzNLnuM-VsATWC53ehwOQ,https://www.youtube.com/@wemmbumc,True,22 hours ago,2024-10-30T22:04:10.604Z,"494,923 views",494923,https://www.youtube.com/watch?v=haxHwlvEN5g,13389,3:43:09,False
Have the coziest November in Hay Day,"Claim the QR code: https://link.haydaygame.com/?action=voucher&code=b3a28d69-486d-4a9f-bbdb-71591337b49a

Best. Farm. Ever. Welcome to Hay Day, the most popular farming game on mobiles and...",lWLp_ptADNU,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/lWLp_ptADNU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/lWLp_ptADNU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/lWLp_ptADNU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/lWLp_ptADNU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/lWLp_ptADNU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/lWLp_ptADNU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/lWLp_ptADNU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/lWLp_ptADNU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/lWLp_ptADNU/3.jpg', 'width': 120, 'height': 90}]",Hay Day,UCBrMq7wkdPWb3PxR-GUR61A,https://www.youtube.com/@hayday,True,12 hours ago,2024-10-31T08:04:10.608Z,"573,110 views",573110,https://www.youtube.com/watch?v=lWLp_ptADNU,119,1:59,False
We Might Have To Fire Someone… (TCG Card Shop Simulator),"Join this channel to get access to uploads with no blurs or mutes:
https://www.youtube.com/channel/UC63anZxfVGHUEmfBAf5w7pw/join

Links
Follow 👇
Twitch -- Watch live at https://www.twitch.tv/cas...",OKtBRy5FtCc,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/OKtBRy5FtCc/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/OKtBRy5FtCc/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/OKtBRy5FtCc/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/OKtBRy5FtCc/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/OKtBRy5FtCc/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/OKtBRy5FtCc/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/OKtBRy5FtCc/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/OKtBRy5FtCc/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/OKtBRy5FtCc/3.jpg', 'width': 120, 'height': 90}]",CaseOh,UC63anZxfVGHUEmfBAf5w7pw,https://www.youtube.com/@caseoh_,True,22 hours ago,2024-10-30T22:04:10.608Z,"492,483 views",492483,https://www.youtube.com/watch?v=OKtBRy5FtCc,7087,1:58:07,False
Black Ops 6 Zombies - Breaking The Map First Try! (Liberty Falls Easter Egg),"Pre-register for King Arthur: Legends Rise on Google Play or the App Store to earn 10 Rise Summon Tickets. 50 Stamina, 10,000 Gold and a Legendary Hero! Use my link here: https://ntiny.link/KALR_va...",D3CKP0TcLrU,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/D3CKP0TcLrU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/D3CKP0TcLrU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/D3CKP0TcLrU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/D3CKP0TcLrU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/D3CKP0TcLrU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/D3CKP0TcLrU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/D3CKP0TcLrU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/D3CKP0TcLrU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/D3CKP0TcLrU/3.jpg', 'width': 120, 'height': 90}]",VanossGaming,UCKqH_9mk1waLgBiL2vT5b9g,https://www.youtube.com/@VanossGaming,True,14 hours ago,2024-10-31T06:04:10.608Z,"452,109 views",452109,https://www.youtube.com/watch?v=D3CKP0TcLrU,1822,30:22,False
JUJU HAS IT ALL! | Brawl Stars Animation,"Juju always has always something very special for you! 💚

#brawlstars #animation 

Download NOW!! ►► https://supr.cl/2K62CZG
Subscribe!! ►► https://supr.cl/subscribe",BqPNB9Vxl_w,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/BqPNB9Vxl_w/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/BqPNB9Vxl_w/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/BqPNB9Vxl_w/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/BqPNB9Vxl_w/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/BqPNB9Vxl_w/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/BqPNB9Vxl_w/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/BqPNB9Vxl_w/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/BqPNB9Vxl_w/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/BqPNB9Vxl_w/3.jpg', 'width': 120, 'height': 90}]",Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,https://www.youtube.com/@BrawlStars,True,1 day ago,2024-10-30T20:04:10.608Z,"5,876,688 views",5876688,https://www.youtube.com/watch?v=BqPNB9Vxl_w,53,0:53,False
This Horror Game was too Hilarious for us,"HAPPY HALLOWEEN!
Dark Hours is also a game where you break into businesses that are all haunted for some reason

All the footage featured in this video was livestreamed on my Twitch channel!...",KHkYNEuKLxc,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/KHkYNEuKLxc/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/KHkYNEuKLxc/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/KHkYNEuKLxc/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/KHkYNEuKLxc/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/KHkYNEuKLxc/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/KHkYNEuKLxc/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/KHkYNEuKLxc/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/KHkYNEuKLxc/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/KHkYNEuKLxc/3.jpg', 'width': 120, 'height': 90}]",SMii7Yplus,UC-gW4TeZAlKm7UATp24JsWQ,https://www.youtube.com/@SMii7Yplus,True,4 hours ago,2024-10-31T16:04:10.608Z,"201,599 views",201599,https://www.youtube.com/watch?v=KHkYNEuKLxc,1707,28:27,False
I'm Risking Another Ban..,"Today I try to guess whether the statement was made by a Twitch streamer or instead by a terrorist.
► Asmongold's Twitch: https://www.twitch.tv/zackrawrr
► Asmongold's Twitter: https://twitter....",YqLffB-45vY,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/YqLffB-45vY/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/YqLffB-45vY/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/YqLffB-45vY/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/YqLffB-45vY/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/YqLffB-45vY/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/YqLffB-45vY/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/YqLffB-45vY/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/YqLffB-45vY/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/YqLffB-45vY/3.jpg', 'width': 120, 'height': 90}]",Asmongold TV  ,UCQeRaTukNYft1_6AZPACnog,https://www.youtube.com/@AsmonTV,True,21 hours ago,2024-10-30T23:04:10.608Z,"610,145 views",610145,https://www.youtube.com/watch?v=YqLffB-45vY,4963,1:22:43,False
They Made a Sequel to Parkour Civilization. It’s amazing.,"follow me on twitter ► https://www.twitter.com/ludwigahgren
follow me on tiktok ► https://www.tiktok.com/@ludwig
follow me on instagram ► https://www.instagram.com/ludwigahgren
join my...",NPEBD0xJS7E,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/NPEBD0xJS7E/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/NPEBD0xJS7E/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/NPEBD0xJS7E/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/NPEBD0xJS7E/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/NPEBD0xJS7E/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/NPEBD0xJS7E/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/NPEBD0xJS7E/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/NPEBD0xJS7E/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/NPEBD0xJS7E/3.jpg', 'width': 120, 'height': 90}]",Ludwig,UCrPseYLGpNygVi34QpGNqpA,https://www.youtube.com/@ludwig,True,15 hours ago,2024-10-31T05:04:10.608Z,"551,763 views",551763,https://www.youtube.com/watch?v=NPEBD0xJS7E,3833,1:03:53,False
Nintendo Music – Announcement Trailer,"Learn more: https://www.nintendo.com/us/switch/online/nintendo-switch-online/nintendo-music/

Enjoy Nintendo game music—now on your smart device! Nintendo Music features a variety of tracks...",DQ5EeImWYaI,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/DQ5EeImWYaI/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/DQ5EeImWYaI/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/DQ5EeImWYaI/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/DQ5EeImWYaI/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/DQ5EeImWYaI/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/DQ5EeImWYaI/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/DQ5EeImWYaI/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/DQ5EeImWYaI/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/DQ5EeImWYaI/3.jpg', 'width': 120, 'height': 90}]",Nintendo of America,UCGIY_O-8vW4rfX98KlMkvRg,https://www.youtube.com/@NintendoAmerica,True,22 hours ago,2024-10-30T22:04:10.608Z,"1,152,163 views",1152163,https://www.youtube.com/watch?v=DQ5EeImWYaI,148,2:28,False
Among Us but Im Fat,"We play a FAT Imposter Role in Among Us Random Roles

Friends in the Video
⭑ @Nicovald 
⭑ @sigils 
⭑ @PatP_ 
⭑ @Zud 
⭑ @Lookumz 
⭑ @BiffleWiffle 

• Video Editor ► Russell
https://w...",NNp2JPS4R3k,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/NNp2JPS4R3k/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/NNp2JPS4R3k/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/NNp2JPS4R3k/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/NNp2JPS4R3k/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/NNp2JPS4R3k/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/NNp2JPS4R3k/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/NNp2JPS4R3k/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/NNp2JPS4R3k/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/NNp2JPS4R3k/3.jpg', 'width': 120, 'height': 90}]",SSundee,UCke6I9N4KfC968-yRcd5YRg,https://www.youtube.com/@SSundee,True,23 hours ago,2024-10-30T21:04:10.608Z,"682,433 views",682433,https://www.youtube.com/watch?v=NNp2JPS4R3k,972,16:12,False
