title,description,videoId,thumbnails,channelName,channelId,channelUrl,verified,publishedText,publishedDate,viewsText,views,videoUrl,duration,durationText,isShort
Wild Life: Episode 5 - THE BIG QUIZ,"NEW LIFE AND GRIAN MERCH: https://grian-shop.fourthwall.com/ I've set up a new merch store with no pre-orders! 

Check out the making of the music here: https://www.youtube.com/watch?v=LofNVbo5Ako...",S4M88a_Q3aI,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/S4M88a_Q3aI/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/S4M88a_Q3aI/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/S4M88a_Q3aI/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/S4M88a_Q3aI/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/S4M88a_Q3aI/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/S4M88a_Q3aI/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/S4M88a_Q3aI/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/S4M88a_Q3aI/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/S4M88a_Q3aI/3.jpg', 'width': 120, 'height': 90}]",Grian,UCR9Gcq0CMm6YgTzsDxAxjOQ,https://www.youtube.com/@Grian,True,1 day ago,2024-11-16T20:09:57.218Z,"803,638 views",803638,https://www.youtube.com/watch?v=S4M88a_Q3aI,4408,1:13:28,False
The FINAL BOSS of SPRUNKI..?? (Sprunki Lore Animations),"Today Tyler and Snowi react to SPRUNKI GAMETOONS ANIMATIONS! 😱 In this Sprunki animation we learn the lore behind Sprunki Phase 3, Phase 4, and other Sprunki songs ! 👉Don't forget to...",J3NA4ZB4DLk,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/J3NA4ZB4DLk/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/J3NA4ZB4DLk/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/J3NA4ZB4DLk/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/J3NA4ZB4DLk/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/J3NA4ZB4DLk/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/J3NA4ZB4DLk/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/J3NA4ZB4DLk/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/J3NA4ZB4DLk/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/J3NA4ZB4DLk/3.jpg', 'width': 120, 'height': 90}]",Tyler & Snowi,UCzzF1kdBgwv5RB6rbB6kVSA,https://www.youtube.com/@TylerAndSnowi,True,21 hours ago,2024-11-16T23:09:57.218Z,"902,879 views",902879,https://www.youtube.com/watch?v=J3NA4ZB4DLk,1821,30:21,False
I Survived 1000 Days in Hardcore Minecraft [FULL MOVIE],"We built a giant underground base, trapped every mob and every boss in the game and so much more

Thank you so much for the support over the years, you've all really changed my life:)

This...",TjKcgBxLnQY,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/TjKcgBxLnQY/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/TjKcgBxLnQY/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/TjKcgBxLnQY/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/TjKcgBxLnQY/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/TjKcgBxLnQY/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/TjKcgBxLnQY/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/TjKcgBxLnQY/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/TjKcgBxLnQY/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/TjKcgBxLnQY/3.jpg', 'width': 120, 'height': 90}]",sandiction,UCcXUhZB4t3g8EGdYiqwS4Aw,https://www.youtube.com/@sandiction,True,1 day ago,2024-11-16T20:09:57.218Z,"363,617 views",363617,https://www.youtube.com/watch?v=TjKcgBxLnQY,13790,3:49:50,False
The Western Gaming Crash Is Real,"Asmongold Reacts to: Corpos are freaking out over the Western Gaming crash
by @HeroHei https://www.youtube.com/watch?v=9F1IQwo1mHk
► Asmongold's Twitch: https://www.twitch.tv/zackrawrr
►...",BZVMLDX4qoc,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/BZVMLDX4qoc/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/BZVMLDX4qoc/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/BZVMLDX4qoc/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/BZVMLDX4qoc/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/BZVMLDX4qoc/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/BZVMLDX4qoc/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/BZVMLDX4qoc/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/BZVMLDX4qoc/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/BZVMLDX4qoc/3.jpg', 'width': 120, 'height': 90}]",Asmongold TV  ,UCQeRaTukNYft1_6AZPACnog,https://www.youtube.com/@AsmonTV,True,10 hours ago,2024-11-17T10:09:57.218Z,"471,240 views",471240,https://www.youtube.com/watch?v=BZVMLDX4qoc,1687,28:07,False
what is happening to twitch?,"FACT CHECK SHEET ►https://bit.ly/MogulMailCorrections
follow me on twitter ► https://www.twitter.com/ludwigahgren
follow me on tiktok ► https://www.tiktok.com/@ludwigahgren
follow me...",UKi1rgiDXa0,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/UKi1rgiDXa0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/UKi1rgiDXa0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/UKi1rgiDXa0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/UKi1rgiDXa0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/UKi1rgiDXa0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/UKi1rgiDXa0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/UKi1rgiDXa0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/UKi1rgiDXa0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/UKi1rgiDXa0/3.jpg', 'width': 120, 'height': 90}]",Mogul Mail,UCjK0F1DopxQ5U0sCwOlXwOg,https://www.youtube.com/@MogulMail,True,19 hours ago,2024-11-17T01:09:57.218Z,"710,007 views",710007,https://www.youtube.com/watch?v=UKi1rgiDXa0,1016,16:56,False
I Broke Into EVERY Vault in Fortnite Chapter 2!,Today I figured out a way to Break into EVERY VAULT in Fortnite Chapter 2! So today we're going to go through and break into every vault we can and try to fool squads of players! This video...,2HLK75F2D7s,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/2HLK75F2D7s/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/2HLK75F2D7s/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/2HLK75F2D7s/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/2HLK75F2D7s/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/2HLK75F2D7s/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/2HLK75F2D7s/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/2HLK75F2D7s/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/2HLK75F2D7s/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/2HLK75F2D7s/3.jpg', 'width': 120, 'height': 90}]",SypherPK,UC_q5WZtFp36adwqhKpZzxwQ,https://www.youtube.com/@SypherPK,True,22 hours ago,2024-11-16T22:09:57.218Z,"867,322 views",867322,https://www.youtube.com/watch?v=2HLK75F2D7s,1021,17:01,False
I UNLOCKED AFTERLIFE CAMO and I didn't even try,"Enjoy!

Twitter - https://twitter.com/Jev
Twitch - http://www.twitch.tv/Jev
Instagram - http://instagram.com/mrjeverson#

BUY GFUEL HERE WITH MY LINK :)
USE CODE 'JEV' AT CHECKOUT FOR A DISCOUNT...",BJnUNEcomL0,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/BJnUNEcomL0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/BJnUNEcomL0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/BJnUNEcomL0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/BJnUNEcomL0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/BJnUNEcomL0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/BJnUNEcomL0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/BJnUNEcomL0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/BJnUNEcomL0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/BJnUNEcomL0/3.jpg', 'width': 120, 'height': 90}]",FaZe Jev,UC7trU46U_9XPDtMnDbiDPUQ,https://www.youtube.com/@Jev,True,18 hours ago,2024-11-17T02:09:57.218Z,"424,814 views",424814,https://www.youtube.com/watch?v=BJnUNEcomL0,701,11:41,False
Fighting For My Life… (SUBNAUTICA),"Join this channel to get access to uploads with no blurs or mutes:
https://www.youtube.com/channel/UC63anZxfVGHUEmfBAf5w7pw/join

Links
Follow 👇
Twitch -- Watch live at https://www.twitch.tv/cas...",tuTPlZb2M9c,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/tuTPlZb2M9c/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/tuTPlZb2M9c/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/tuTPlZb2M9c/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/tuTPlZb2M9c/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/tuTPlZb2M9c/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/tuTPlZb2M9c/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/tuTPlZb2M9c/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/tuTPlZb2M9c/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/tuTPlZb2M9c/3.jpg', 'width': 120, 'height': 90}]",CaseOh,UC63anZxfVGHUEmfBAf5w7pw,https://www.youtube.com/@caseoh_,True,21 hours ago,2024-11-16T23:09:57.218Z,"415,535 views",415535,https://www.youtube.com/watch?v=tuTPlZb2M9c,3403,56:43,False
Vampire and Werewolf FORBIDDEN LOVE!,"Their friends are gonna fight this tooth and claw. 
💜 Come take a look at my merch! 💜 https://aphmeow.com/
► Instagram: https://www.instagram.com/aphmau_ 

====. * ･ ｡ﾟ☆ [Friends!]...",bzAQZsBJW-c,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/bzAQZsBJW-c/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/bzAQZsBJW-c/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/bzAQZsBJW-c/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/bzAQZsBJW-c/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/bzAQZsBJW-c/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/bzAQZsBJW-c/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/bzAQZsBJW-c/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/bzAQZsBJW-c/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/bzAQZsBJW-c/3.jpg', 'width': 120, 'height': 90}]",Aphmau,UCzYfz8uibvnB7Yc1LjePi4g,https://www.youtube.com/@Aphmau,True,23 hours ago,2024-11-16T21:09:57.218Z,"849,928 views",849928,https://www.youtube.com/watch?v=bzAQZsBJW-c,1128,18:48,False
Winning the TRIO CASH CUP in FORTNITE! (Build Mode),"Fortnite gameplay live stream with Typical Gamer!
⭐ Play The Pit of LEGENDS! Search ""JOGO"" on Fortnite or use code ► 5629-1247-4118
❤️ SUBSCRIBE! ► http://bit.ly/SubToTG

MY GAMES...",ps0yVAUufn0,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/ps0yVAUufn0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/ps0yVAUufn0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/ps0yVAUufn0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/ps0yVAUufn0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/ps0yVAUufn0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/ps0yVAUufn0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/ps0yVAUufn0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/ps0yVAUufn0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/ps0yVAUufn0/3.jpg', 'width': 120, 'height': 90}]",Typical Gamer,UC2wKfjlioOCLP4xQMOWNcgg,https://www.youtube.com/@TypicalGamer,True,Streamed 18 hours ago,2024-11-17T02:09:57.218Z,"296,328 views",296328,https://www.youtube.com/watch?v=ps0yVAUufn0,14387,3:59:47,False
