title,description,videoId,thumbnails,channelName,channelId,channelUrl,verified,publishedText,publishedDate,viewsText,views,videoUrl,duration,durationText,isShort
I Regret Playing This Game,"Liar's Bar is a game alright

Use code S7 on Gamer Supps for 10% OFF your order
Get my GamerSupps flavor, GOOD here!: https://gamersupps.gg/s7

Check out my other channels!
Second Channel:...",jbGCow_lWVI,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/jbGCow_lWVI/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/jbGCow_lWVI/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/jbGCow_lWVI/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/jbGCow_lWVI/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/jbGCow_lWVI/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/jbGCow_lWVI/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/jbGCow_lWVI/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/jbGCow_lWVI/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/jbGCow_lWVI/3.jpg', 'width': 120, 'height': 90}]",SMii7Y,UCzXwjTI6c6mVn6oui_p6oiw,https://www.youtube.com/@SMii7Y,True,1 day ago,2024-09-30T20:10:09.913Z,"1,322,155 views",1322155,https://www.youtube.com/watch?v=jbGCow_lWVI,1678,27:58,False
🔎💛Until we Meet Again o7 ~,"for now.... AHEM .....from watson to watsoff ( ⸜ ‘ω`)7

beautiful art by: saine (https://twitter.com/sainexxx)

“Immortalized as Marketable Plushies Together 4EVER”
▼hololive production...",HbsG-0_zA-s,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/HbsG-0_zA-s/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/HbsG-0_zA-s/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/HbsG-0_zA-s/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/HbsG-0_zA-s/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/HbsG-0_zA-s/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/HbsG-0_zA-s/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/HbsG-0_zA-s/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/HbsG-0_zA-s/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/HbsG-0_zA-s/3.jpg', 'width': 120, 'height': 90}]",Watson Amelia Ch. hololive-EN,UCyl1z3jo3XHR1riLFKG5UAg,https://www.youtube.com/@WatsonAmelia,True,Streamed 16 hours ago,2024-10-01T04:10:09.913Z,"1,227,796 views",1227796,https://www.youtube.com/watch?v=HbsG-0_zA-s,7498,2:04:58,False
A NEW SPOOKY CHAMPION!! FREE TO PLAY IMPROVEMENTS... AND MORE!,"New Champion Goblinstein for FREE!!
Electro Dragon has Evolved!
Reworked Pass Royale...
and MORE! #TVRoyale 

Twitter ► https://twitter.com/ClashRoyale/
Instagram ► https://www.instagram.com/cl...",-k-VL-ampa8,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/-k-VL-ampa8/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/-k-VL-ampa8/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/-k-VL-ampa8/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/-k-VL-ampa8/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/-k-VL-ampa8/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/-k-VL-ampa8/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/-k-VL-ampa8/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/-k-VL-ampa8/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/-k-VL-ampa8/3.jpg', 'width': 120, 'height': 90}]",Clash Royale,UC_F8DoJf9MZogEOU51TpTbQ,https://www.youtube.com/@ClashRoyale,True,5 hours ago,2024-10-01T15:10:09.913Z,"670,754 views",670754,https://www.youtube.com/watch?v=-k-VL-ampa8,253,4:13,False
Mutated Animal Zoo - Zoochosis,"Zoochosis is out and these animals are not cute
Buy MY coffee: https://topofthemornincoffee.com/
Comic: https://badegg.co/collections/comics

Edited By: https://www.youtube.com/@treyyates",-9f8fubqY5o,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/-9f8fubqY5o/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/-9f8fubqY5o/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/-9f8fubqY5o/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/-9f8fubqY5o/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/-9f8fubqY5o/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/-9f8fubqY5o/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/-9f8fubqY5o/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/-9f8fubqY5o/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/-9f8fubqY5o/3.jpg', 'width': 120, 'height': 90}]",jacksepticeye,UCYzPXprvl5Y-Sf0g4vX-m6g,https://www.youtube.com/@jacksepticeye,True,1 day ago,2024-09-30T20:10:09.913Z,"1,085,008 views",1085008,https://www.youtube.com/watch?v=-9f8fubqY5o,5773,1:36:13,False
THAT'S NOT MY NEIGBHOR (CAMPAIGN MODE),"Join this channel to get access to uploads with no blurs or mutes:
https://www.youtube.com/channel/UC63anZxfVGHUEmfBAf5w7pw/join

Links
Follow 👇
Twitch -- Watch live at https://www.twitch.tv/cas...",ozYQmGbt_9M,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/ozYQmGbt_9M/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/ozYQmGbt_9M/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/ozYQmGbt_9M/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/ozYQmGbt_9M/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/ozYQmGbt_9M/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/ozYQmGbt_9M/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/ozYQmGbt_9M/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/ozYQmGbt_9M/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/ozYQmGbt_9M/3.jpg', 'width': 120, 'height': 90}]",CaseOh,UC63anZxfVGHUEmfBAf5w7pw,https://www.youtube.com/@caseoh_,True,22 hours ago,2024-09-30T22:10:09.913Z,"387,904 views",387904,https://www.youtube.com/watch?v=ozYQmGbt_9M,8075,2:14:35,False
Poppy Playtime Chapter 4 - Teaser Trailer,"Will you escape the horrors hidden within Playtime Co., or will you succumb to the terror? Survival isn’t guaranteed. Fear is.

Wishlist Poppy Playtime Chapter 4 On Steam NOW!
https://huggywug.co...",wbN-lTHD_L0,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/wbN-lTHD_L0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/wbN-lTHD_L0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/wbN-lTHD_L0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/wbN-lTHD_L0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/wbN-lTHD_L0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/wbN-lTHD_L0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/wbN-lTHD_L0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/wbN-lTHD_L0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/wbN-lTHD_L0/3.jpg', 'width': 120, 'height': 90}]",Mob Entertainment,UCXqV4yoyC_mmZye6VbKFPeQ,https://www.youtube.com/@Mob_Entertainment,True,1 day ago,2024-09-30T20:10:09.913Z,"2,384,031 views",2384031,https://www.youtube.com/watch?v=wbN-lTHD_L0,60,1:00,False
Selling Used Cars For Profit in Car Simulator,"We buy and sell cars in Used Car Simulator

Friends in the Video
⭑ @Zud 
⭑ @sigils 
⭑ @BiffleWiffle 

• Video Editor ► Russell
https://www.youtube.com/russelledits

• Discord: https://d...",hgSX4Dcr_ow,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/hgSX4Dcr_ow/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/hgSX4Dcr_ow/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/hgSX4Dcr_ow/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/hgSX4Dcr_ow/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/hgSX4Dcr_ow/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/hgSX4Dcr_ow/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/hgSX4Dcr_ow/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/hgSX4Dcr_ow/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/hgSX4Dcr_ow/3.jpg', 'width': 120, 'height': 90}]",SSundee,UCke6I9N4KfC968-yRcd5YRg,https://www.youtube.com/@SSundee,True,23 hours ago,2024-09-30T21:10:09.913Z,"488,979 views",488979,https://www.youtube.com/watch?v=hgSX4Dcr_ow,1088,18:08,False
It All Came Down To This! Wheel of MUT! Ep. #3,"guys im clapping this girls cheeks as im typing this. no seriously you guys, but you wouldnt know her, she goes to a different school. but for real though

wow, you stud - thanks for clicking...",AXDicxL1lfY,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/AXDicxL1lfY/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/AXDicxL1lfY/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/AXDicxL1lfY/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/AXDicxL1lfY/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/AXDicxL1lfY/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/AXDicxL1lfY/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/AXDicxL1lfY/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/AXDicxL1lfY/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/AXDicxL1lfY/3.jpg', 'width': 120, 'height': 90}]",MMG,UCaYxyR9mzVlTrOOyZD0XAmA,https://www.youtube.com/@MMG69,True,19 hours ago,2024-10-01T01:10:09.913Z,"257,731 views",257731,https://www.youtube.com/watch?v=AXDicxL1lfY,1245,20:45,False
I beat Kaizo Mario Odyssey. It was Painful.,"Kaizo Mario Odyssey made by RedSlay9 AND SMOjoycon is a Super Mario Odyssey ""Change"" ;) that makes every moon in the game way more difficult. the ultimate challenge. not to be confused with...",oKWTNyPE9OU,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/oKWTNyPE9OU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/oKWTNyPE9OU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/oKWTNyPE9OU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/oKWTNyPE9OU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/oKWTNyPE9OU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/oKWTNyPE9OU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/oKWTNyPE9OU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/oKWTNyPE9OU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/oKWTNyPE9OU/3.jpg', 'width': 120, 'height': 90}]",SmallAnt,UC0VVYtw21rg2cokUystu2Dw,https://www.youtube.com/@Smallant,True,1 day ago,2024-09-30T20:10:09.913Z,"608,442 views",608442,https://www.youtube.com/watch?v=oKWTNyPE9OU,2782,46:22,False
Dead by Daylight | Haunted by Daylight 2024 Livestream,"Halloween horror returns to Dead by Daylight. The spooky season is upon us, and so is Dead by Daylight’s official Haunted by Daylight 2024 Livestream. Say “trick or treat”, open your...",8sBkbxwnyrk,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/8sBkbxwnyrk/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/8sBkbxwnyrk/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/8sBkbxwnyrk/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/8sBkbxwnyrk/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/8sBkbxwnyrk/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/8sBkbxwnyrk/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/8sBkbxwnyrk/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/8sBkbxwnyrk/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/8sBkbxwnyrk/3.jpg', 'width': 120, 'height': 90}]",Dead by Daylight,UCaSgsFdGbwjfdawl3rOXiwQ,https://www.youtube.com/@DeadbyDaylightBHVR,True,Streamed 4 hours ago,2024-10-01T16:10:09.913Z,"128,249 views",128249,https://www.youtube.com/watch?v=8sBkbxwnyrk,4979,1:22:59,False
